location,area,details,price,agent,agency,link,rooms,bathroom,parking
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,767 sq. ft.","RM 2,400,000",Lucas Liew,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/ol-sale-104471905/,4+1,4,3
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,163 sq. ft.","RM 1,750,000",Lucas Liew,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/ol-sale-104471920/,4+1,5,3
"The Westside One, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 2,066 sq. ft.  •  Partly furnished","RM 1,800,000",Kiing TW,Big Plus Properties Sdn. Bhd. - Kepong,https://www.iproperty.com.my/property/desa-park-city/the-westside-one/sale-104437318/,3+1,3,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,535 sq. ft.  •  Fully furnished","RM 900,000",Adeline Teh,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-104305953/,4,2,3
"Taman Bukit Indah / Taman Overseas Union, OUG","OUG, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,800 sq. ft.  •  Unfurnished","RM 860,000",Melissa Khoo,Hartamas Real Estate (Oug) Sdn. Bhd.,https://www.iproperty.com.my/property/oug/sale-104472503/,4,3,
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,406 sq. ft.  •  Partly furnished","RM 735,000",Adeline Teh,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-100275199/,3+1,3,2
"Bangsar, Lucky Garden, Pantai, Bangsar","Bangsar, Kuala Lumpur","Bungalow  •  Built-up : 4,400 sq. ft.  •  Partly furnished","RM 3,800,000",Shaun Tan,Avid Estates,https://www.iproperty.com.my/property/bangsar/sale-103853985/,4+1,5,4
"Taman Overseas Union Garden, OUG","OUG, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.","RM 965,000",Melissa Khoo,Hartamas Real Estate (Oug) Sdn. Bhd.,https://www.iproperty.com.my/property/oug/sale-103613489/,4,3,
"damai gayana, c, bandar damai perdana , Cheras","Cheras, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 3,863 sq. ft.  •  Partly furnished","RM 2,390,000",Gibson Choo,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/cheras/sale-103371114/,6+1,7,
"The Westside One, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,378 sq. ft.  •  Partly furnished","RM 960,000",Alex Goh,Yit Seng Realty,https://www.iproperty.com.my/property/desa-park-city/the-westside-one/sale-104355644/,2+1,3,2
