location,area,details,price,agent,agency,link,rooms,bathroom,parking
"Tiffani Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,635 sq. ft.  •  Fully furnished","RM 1,030,000",Vincent Ho,Kith and Kin Realty Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/tiffani-kiara/sale-102725957/,3+1,3,2
Bangsar,"Bangsar, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 4,500 sq. ft.  •  Partly furnished","RM 7,200,000",Chong U Kian,Avid Estates,https://www.iproperty.com.my/property/bangsar/sale-104447507/,5+2,5,2
"M Astra, Setapak","Setapak, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.,"RM 389,000",Joyce Yap,Duxton Property Sdn Bhd,https://www.iproperty.com.my/property/setapak/m-astra/sale-104447585/,3,2,2
"OUG Parklane, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur",Serviced Residence  •  Built-up : 950 sq. ft.  •  Partly furnished,"RM 340,000",Elven Tan,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/oug-parklane/sale-103923748/,3,2,1
"Quadro Residences, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 2,343 sq. ft.  •  Fully furnished","RM 2,360,000",Benson Chong,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/quadro-residences/sale-103129814/,4+1,5,2
"Expressionz Professional Suites, KL City","KL City, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 914 sq. ft.  •  Fully furnished,"RM 949,999",Shawn Loh,Vivahomes Realty - Kota Damansara,https://www.iproperty.com.my/property/kl-city/expressionz-professional-suites/sale-104246446/,2,2,1
"Setia Sky Seputeh, Seputeh","Seputeh, Kuala Lumpur","Condominium  •  Built-up : 2,680 sq. ft.  •  Partly furnished","RM 2,400,000",Brandon Lee,Glow Estates Sdn Bhd,https://www.iproperty.com.my/property/seputeh/setia-sky-seputeh/sale-104305302/,4+1,5,3
"Setia Sky Seputeh, Seputeh","Seputeh, Kuala Lumpur","Condominium  •  Built-up : 2,863 sq. ft.  •  Partly furnished","RM 2,600,000",Brandon Lee,Glow Estates Sdn Bhd,https://www.iproperty.com.my/property/seputeh/setia-sky-seputeh/sale-104305305/,4+1,5,4
"Scenaria @ North Kiara Hills, Taman Sri Sinar, Segambut","Segambut, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,019 sq. ft.  •  Partly furnished","RM 598,000",Chee Chao Xiang,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/segambut/scenaria-north-kiara-hills/sale-104000958/,3,2,2
Bangsar,"Bangsar, Kuala Lumpur","Bungalow  •  Built-up : 8,000 sq. ft.  •  Partly furnished","RM 14,000,000",Irien Tan,IQI Realty Sdn.Bhd. - Ara Damansara,https://www.iproperty.com.my/property/bangsar/sale-102495182/,7,8,6
"Bukit Tunku, Kenny Hills, KL, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 36,000 sq. ft.","RM 45,000,000",Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-102530567/,8+3,12,12
"Bennington Residences @ SkyArena, Setapak","Setapak, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,450 sq. ft.","RM 700,000",Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/setapak/bennington-residences-sky-arena/sale-101257625/,4,3,2
