location,area,details,price,date,agent,agency,link,rooms,bathroom,parking
"Kiara Park, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,340 sq. ft.  •  Fully furnished","RM 850,000",Posted yesterday 10:48 AM,Angie Yoa,Sky Asset Properties,https://www.iproperty.com.my/property/taman-tun-dr-ismail/kiara-park/sale-103659213/,3,2,1
"Pinnacle, Sri Petaling","Sri Petaling, Kuala Lumpur",Condominium  •  Built-up : 900 sq. ft.,"RM 670,000",Posted yesterday 10:48 AM,Max Chua,Amg Realty & Consultancy Sdn. Bhd.,https://www.iproperty.com.my/property/sri-petaling/pinnacle/ol-sale-104446660/,3,3,2
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 12,117 sq. ft.  •  Partly furnished","RM 9,400,000",Posted yesterday 10:46 AM,Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-102536586/,7+1,11,
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 9,551 sq. ft.  •  Partly furnished","RM 12,500,000",Posted yesterday 10:46 AM,Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-102195083/,5+1,7,6
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 10,000 sq. ft.","RM 12,000,000",Posted yesterday 10:45 AM,Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-103180917/,6+1,7,6
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 8,000 sq. ft.  •  Partly furnished","RM 11,000,000",Posted yesterday 10:44 AM,Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-102195027/,5+1,7,3
"Pavilion, Damansara Heights","Damansara Heights, Kuala Lumpur",Serviced Residence  •  Built-up : 702 sq. ft.  •  Fully furnished,"RM 1,217,394",Posted yesterday 10:43 AM,Nicole Fong,Realtag Properties,https://www.iproperty.com.my/property/damansara-heights/pavilion/sale-102048660/,1,1,1
"Bukit Damansara, Damansara Heights","Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 7,651 sq. ft.  •  Partly furnished","RM 11,500,000",Posted yesterday 10:43 AM,Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-102194938/,5+1,7,
"Aira Residence, Damansara Heights","Damansara Heights, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 5,250 sq. ft.  •  Partly furnished","RM 9,100,000",Posted yesterday 10:41 AM,TH Lee,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/damansara-heights/aira-residence/sale-103962863/,4+1,6,3
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,184 sq. ft.  •  Partly furnished","RM 818,200",Posted yesterday 10:39 AM,Vernice Teh,Wereg Properties Sdn Bhd,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-104202182/,4,3,2
"Tiffani Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,257 sq. ft.  •  Fully furnished","RM 1,250,000",Posted yesterday 10:37 AM,Mavviies Teea,J Maison Realtor,https://www.iproperty.com.my/property/mont-kiara/tiffani-kiara/ol-sale-104384487/,3+1,5,2
"Bandar Sri damansara SD2 SD3 SD4 Kepong, Kepong","Kepong, Kuala Lumpur","1-sty Terrace/Link House  •  Built-up : 1,300 sq. ft.","RM 610,000",Posted yesterday 10:27 AM,Joly Liew,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/sale-104422970/,3,2,
"Mercu Summer Suites, KL City, KLCC","KLCC, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 493 sq. ft.  •  Fully furnished,"RM 390,000",Posted yesterday 10:27 AM,Tammy Wong,Greenfield Properties - Kota Damansara,https://www.iproperty.com.my/property/klcc/mercu-summer-suites/sale-102020084/,Studio,1,
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,454 sq. ft.  •  Fully furnished","RM 6,350,000",Posted yesterday 10:27 AM,Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/klcc/four-seasons-place/ol-sale-104166806/,4,4,2
"Mercu Summer Suites, KL City, KLCC","KLCC, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 713 sq. ft.  •  Partly furnished,"RM 500,000",Posted yesterday 10:25 AM,Tammy Wong,Greenfield Properties - Kota Damansara,https://www.iproperty.com.my/property/klcc/mercu-summer-suites/sale-102020041/,1,1,
"Kasturi, Bandar Sri Permaisuri, Cheras","Cheras, Kuala Lumpur",Flat | Intermediate  •  Built-up : 650 sq. ft.  •  Partly furnished,"RM 260,000",Posted yesterday 10:13 AM,Mohd Ridzuan,Firdaus & Associates Property Professionals - Wangsa Maju,https://www.iproperty.com.my/property/cheras/kasturi/sale-104446506/,3,2,1
"The Estate, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium  •  Built-up : 3,474 sq. ft.","RM 2,880,000",Posted yesterday 10:06 AM,Shane Lim,The Roof Realty - Puchong,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-estate/ol-sale-104390026/,5+1,5,4
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,093 sq. ft.","RM 1,100,000",Posted yesterday 10:04 AM,Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/south-brooks/sale-104251269/,2,2,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,700 sq. ft.  •  Partly furnished","RM 2,080,000",Posted yesterday 10:03 AM,Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-103881950/,3+1,4,2
"M City, Ampang","Ampang, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,653 sq. ft.  •  Fully furnished","RM 1,850,000",Posted yesterday 10:01 AM,Juliet Kang,Landbanc Property Sdn. Bhd.,https://www.iproperty.com.my/property/ampang/m-city/sale-104242493/,3+2,4,2
"Serene Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Townhouse | Intermediate  •  Built-up : 2,900 sq. ft.  •  Unfurnished","RM 1,956,000",Posted yesterday 09:56 AM,Zee,Metro City Realtors Sdn. Bhd. (MK),https://www.iproperty.com.my/property/mont-kiara/sale-104504074/,4+1,5,2
"Inspirasi, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,015 sq. ft.  •  Unfurnished","RM 780,000",Posted yesterday 09:54 AM,Daniel Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/inspirasi/sale-104471985/,3,2,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,367 sq. ft.  •  Fully furnished","RM 1,480,000",Posted yesterday 09:53 AM,Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-103614875/,2+1,3,2
"Casaman, Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 4,306 sq. ft.","RM 5,500,000",Posted yesterday 09:52 AM,Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-102208428/,4+1,4,4
"Bukit Tunku, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow  •  Built-up : 6,000 sq. ft.  •  Partly furnished","RM 11,000,000",Posted yesterday 09:52 AM,Brandon Lim,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-104413636/,5+1,5,6
"Casaman, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 3,300 sq. ft.","RM 4,200,000",Posted yesterday 09:52 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-101131301/,3+1,4,2
"The Mansions , Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 6,213 sq. ft.","RM 6,300,000",Posted yesterday 09:52 AM,Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-101876417/,6+1,6,6
"Taman Setapak, Ibu Kota, Gombak, Setapak","Setapak, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,400 sq. ft.  •  Partly furnished","RM 990,000",Posted yesterday 09:51 AM,Bernice Wong,E Trend Realty - Kepong,https://www.iproperty.com.my/property/setapak/sale-104329673/,4,2,3
"Desa Setapak, Wangsa Maju, Setapak, Wangsa Maju","Wangsa Maju, Kuala Lumpur","2.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,100 sq. ft.  •  Unfurnished","RM 420,000",Posted yesterday 09:50 AM,Bernice Wong,E Trend Realty - Kepong,https://www.iproperty.com.my/property/wangsa-maju/sale-102691830/,3,3,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,663 sq. ft.  •  Partly furnished","RM 850,000",Posted yesterday 09:49 AM,Elsis Liew,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-103847715/,3+2,4,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,782 sq. ft.  •  Fully furnished","RM 950,000",Posted yesterday 09:48 AM,Elsis Liew,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-104111069/,3+1,4,2
"The Plaza Condominium @ TTDI, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,826 sq. ft.  •  Partly furnished","RM 1,500,000",Posted yesterday 09:46 AM,Angie Chai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/the-plaza-condominium-ttdi/sale-103905988/,3+1,4,2
"M Astra, Setapak","Setapak, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.,"RM 389,000",Posted yesterday 09:45 AM,Joyce Yap,Duxton Property Sdn Bhd,https://www.iproperty.com.my/property/setapak/m-astra/sale-104446489/,3,2,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,164 sq. ft.  •  Fully furnished","RM 690,000",Posted yesterday 09:43 AM,Elsis Liew,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/ol-sale-104504097/,2,2,2
"Kiaraville, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,403 sq. ft.  •  Partly furnished","RM 1,600,000",Posted yesterday 09:26 AM,David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/kiaraville/sale-103189628/,4,4,3
"Kiara Designer Suites, Mont Kiara","Mont Kiara, Kuala Lumpur","Serviced Residence  •  Built-up : 1,259 sq. ft.  •  Fully furnished","RM 680,000",Posted yesterday 09:25 AM,David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/kiara-designer-suites/sale-103189198/,3,2,2
"i-Zen @ Kiara 1, Mont Kiara","Mont Kiara, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,400 sq. ft.  •  Fully furnished","RM 900,000",Posted yesterday 09:25 AM,David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/i-zen-kiara-1/sale-103291567/,3+1,2,2
"Seni Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,110 sq. ft.  •  Fully furnished","RM 1,750,000",Posted yesterday 09:24 AM,David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/seni-mont-kiara/sale-104163558/,3+1,4,2
"Kiara 9 Residency, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,661 sq. ft.  •  Fully furnished","RM 1,050,000",Posted yesterday 09:24 AM,David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/kiara-9-residency/sale-103414940/,3+1,3,2
"Kiara 1888, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,636 sq. ft.  •  Partly furnished","RM 848,000",Posted yesterday 09:23 AM,David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/kiara-1888/sale-104489443/,3+1,3,2
"Casaman, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 4,500 sq. ft.  •  Partly furnished","RM 5,380,000",Posted yesterday 09:21 AM,Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/sale-103763110/,4+1,5,4
"East Parc @ Manjalara, Bandar Menjalara","Bandar Menjalara, Kuala Lumpur","Serviced Residence | Dual key  •  Built-up : 1,510 sq. ft.  •  Partly furnished","RM 900,000",Posted yesterday 09:20 AM,Chris Tye,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/bandar-menjalara/east-parc-manjalara/sale-101793847/,4,3,2
"The Northshore Gardens, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur",Condominium  •  Built-up : 915 sq. ft.  •  Fully furnished,"RM 950,000",Posted yesterday 09:18 AM,Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/the-northshore-gardens/sale-103607260/,1+1,1,1
"Lake City, Taman Wahyu, Kepong","Kepong, Kuala Lumpur",Serviced Residence  •  Built-up : 567 sq. ft.  •  Partly furnished,"RM 350,000",Posted yesterday 09:18 AM,Chris Tye,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/lake-city/sale-102172800/,1,1,1
"8 Kia Peng, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Duplex  •  Built-up : 1,341 sq. ft.  •  Fully furnished","RM 3,100,000",Posted yesterday 09:10 AM,Francis Ngooi,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/8-kia-peng/ol-sale-104471842/,2+1,3,2
"Lumina Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,448 sq. ft.  •  Fully furnished","RM 950,000",Posted yesterday 09:01 AM,Ken Choong,Rvt Realty,https://www.iproperty.com.my/property/mont-kiara/lumina-kiara/sale-103853577/,2+1,4,2
Country Heights Damansara,"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 11,000 sq. ft.  •  Partly furnished","RM 9,000,000",Posted yesterday 08:55 AM,Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/country-heights-damansara/sale-100820399/,7+1,6,8
Country Heights Damansara,"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 12,500 sq. ft.  •  Fully furnished","RM 8,000,000",Posted yesterday 08:38 AM,Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/country-heights-damansara/sale-104253511/,6+1,8,6
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,271 sq. ft.  •  Partly furnished","RM 5,980,000",Posted yesterday 08:30 AM,Dave Soh,Arden Estates Sdn Bhd,https://www.iproperty.com.my/property/klcc/four-seasons-place/sale-103869694/,3+2,4,2
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur",Condominium | Corner lot  •  Built-up : 718 sq. ft.  •  Fully furnished,"RM 2,000,000",Posted yesterday 08:28 AM,Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-101004474/,1,1,1
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,254 sq. ft.  •  Fully furnished","RM 3,700,000",Posted yesterday 08:27 AM,Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-101004520/,2,2,1
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 747 sq. ft.  •  Fully furnished,"RM 2,400,000",Posted yesterday 08:27 AM,Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-101004470/,1,1,1
"Stonor 3, KLCC","KLCC, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 871 sq. ft.  •  Partly furnished,"RM 1,088,888",Posted yesterday 08:05 AM,Neou WP,Dutama Properties,https://www.iproperty.com.my/property/klcc/stonor-3/sale-103385979/,2,2,2
"Stonor 3, KLCC","KLCC, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,232 sq. ft.  •  Partly furnished","RM 1,550,000",Posted yesterday 08:05 AM,Neou WP,Dutama Properties,https://www.iproperty.com.my/property/klcc/stonor-3/sale-103385981/,3,3,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,830 sq. ft.  •  Fully furnished","RM 1,800,000",Posted yesterday 07:43 AM,Ivan How,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/sale-104471729/,4,4,2
"The Riyang, Kuchai Lama","Kuchai Lama, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,780 sq. ft.  •  Partly furnished","RM 1,188,000",Posted yesterday 07:36 AM,Adeline Teh,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/kuchai-lama/the-riyang/sale-104079656/,3+1,4,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,400 sq. ft.  •  Fully furnished","RM 829,999",Posted yesterday 07:31 AM,Adeline Teh,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-103312005/,3,3,2
"Sunway SPK, Sunway SPK Damansara, Sunway SPK","Sunway SPK, Kuala Lumpur","2-sty Terrace/Link House | End lot  •  Built-up : 2,398 sq. ft.  •  Partly furnished","RM 2,400,000",Posted yesterday 07:25 AM,Kent Chua,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/sunway-spk/sale-104350505/,4+1,3,3
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,841 sq. ft.  •  Partly furnished","RM 11,800,000",Posted yesterday 07:24 AM,Ivan How,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/four-seasons-place/sale-103639091/,4,6,3
"Levenue ,Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Semi-detached House | Corner lot  •  Built-up : 3,800 sq. ft.  •  Partly furnished","RM 5,500,000",Posted yesterday 07:07 AM,Kent Chua,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-101434423/,7+1,7,4
"Bukit Bandaraya, Bangsar","Bangsar, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 4,500 sq. ft.  •  Partly furnished","RM 3,500,000",Posted yesterday 06:25 AM,Debbie Lam,Twincrest Properties,https://www.iproperty.com.my/property/bangsar/sale-102917215/,5+1,4,4
"Bangsar baru, Bangsar","Bangsar, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,000 sq. ft.  •  Unfurnished","RM 1,500,000",Posted yesterday 06:23 AM,Debbie Lam,Twincrest Properties,https://www.iproperty.com.my/property/bangsar/sale-103887872/,4,3,2
"The Link 2 Residences, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Serviced Residence  •  Built-up : 1,208 sq. ft.  •  Fully furnished","RM 760,000",Posted yesterday 04:33 AM,Felix Lee,Sinland Real Estate,https://www.iproperty.com.my/property/bukit-jalil/the-link-2-residences/sale-104361364/,3,2,2
"Prisma Perdana, Taman Midah, Cheras","Cheras, Kuala Lumpur",Apartment | Intermediate  •  Built-up : 818 sq. ft.  •  Unfurnished,"RM 308,000",Posted yesterday 02:10 AM,Jack Lau,GT Nelson Realty Sdn Bhd,https://www.iproperty.com.my/property/cheras/prisma-perdana/sale-104464912/,3,2,1
"The mansions , Desa ParkCity","Desa ParkCity, Kuala Lumpur","3.5-sty Terrace/Link House | Intermediate  •  Built-up : 6,600 sq. ft.  •  Partly furnished","RM 6,450,000",Posted yesterday 01:46 AM,Andrew Tan,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/desa-park-city/sale-102899314/,6+1,7,6
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,378 sq. ft.  •  Partly furnished","RM 1,700,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-104432634/,2+1,3,2
"Westside Three, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,228 sq. ft.  •  Partly furnished","RM 1,100,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/westside-three/sale-104380789/,2+1,2,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,808 sq. ft.  •  Partly furnished","RM 2,550,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-104309275/,3+1,4,2
"Davinia, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Bungalow  •  Built-up : 11,000 sq. ft.","RM 8,000,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-104016202/,5,5,
"Park Regent, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,046 sq. ft.","RM 3,500,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/park-regent/sale-104413939/,3+1,4,3
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,797 sq. ft.  •  Partly furnished","RM 2,200,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-100864348/,3+1,4,2
"The Westside Two, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,777 sq. ft.  •  Partly furnished","RM 1,580,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/the-westside-two/sale-104494717/,3+1,4,2
"Adora, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | Corner lot  •  Built-up : 2,487 sq. ft.  •  Partly furnished","RM 2,880,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-104254023/,4+1,4,2
"The Northshore Gardens, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,476 sq. ft.","RM 2,500,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/the-northshore-gardens/sale-104410327/,4+1,4,3
"The Westside Two, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,777 sq. ft.  •  Partly furnished","RM 1,750,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/the-westside-two/sale-104494736/,3+1,4,2
"Park Place, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,217 sq. ft.  •  Partly furnished","RM 1,980,000",Posted yesterday 01:06 AM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/park-place/sale-103822912/,3+2,4,3
"Parc 3, Cheras","Cheras, Kuala Lumpur",Serviced Residence  •  Built-up : 977 sq. ft.  •  Partly furnished,"RM 778,000",Posted yesterday 12:31 AM,Vickky Wong,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/cheras/parc-3/ol-sale-104422415/,3,2,2
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur",Serviced Residence  •  Built-up : 948 sq. ft.  •  Fully furnished,"RM 1,088,000",Posted yesterday 12:28 AM,Kelvin Hew,CHESTER PROPERTIES SDN.BHD.,https://www.iproperty.com.my/property/mont-kiara/arte-mont-kiara/sale-104446090/,2,2,1
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur",Serviced Residence  •  Built-up : 948 sq. ft.  •  Fully furnished,"RM 1,038,000",Posted yesterday 12:24 AM,Kelvin Hew,CHESTER PROPERTIES SDN.BHD.,https://www.iproperty.com.my/property/mont-kiara/arte-mont-kiara/sale-104446069/,2,2,1
"Anyaman Residence, Sungai Besi","Sungai Besi, Kuala Lumpur","Condominium  •  Built-up : 1,109 sq. ft.  •  Partly furnished","RM 500,000",Posted on 10 Jan 2023 11:43 PM,Siew Wei Lim,CRYSTAL REALTORS SDN BHD,https://www.iproperty.com.my/property/sungai-besi/anyaman-residence/sale-104445967/,4,2,2
"Adora, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | End lot  •  Built-up : 1,917 sq. ft.  •  Partly furnished","RM 2,200,000",Posted on 10 Jan 2023 11:40 PM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-103267446/,3,3,2
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,184 sq. ft.  •  Partly furnished","RM 850,000",Posted on 10 Jan 2023 11:40 PM,Nova Chua,Polygon Properties,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-103805274/,4,3,2
