location,area,details,price,date,agent,agency,link,rooms,bathroom,parking
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,377 sq. ft.","RM 1,300,000",Posted on 08 Jan 2023 06:43 PM,Leonnie Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/sale-104073112/,3+1,3,2
"The Peak,Cheras, Cheras","Cheras, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,200 sq. ft.  •  Fully furnished","RM 1,330,000",Posted on 08 Jan 2023 06:19 PM,Michael Cheah,Full Homes Realty - Menjalara,https://www.iproperty.com.my/property/cheras/sale-103749744/,5+1,5,3
"The Ritz-Carlton Residences, KLCC","KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 1,938 sq. ft.","RM 5,600,000",Posted on 08 Jan 2023 05:51 PM,Francis Ngooi,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-ritz-carlton-residences/sale-103909255/,2,4,2
"8 Kia Peng, KLCC","KLCC, Kuala Lumpur",Serviced Residence  •  Built-up : 988 sq. ft.,"RM 1,970,000",Posted on 08 Jan 2023 05:50 PM,Francis Ngooi,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/8-kia-peng/ol-sale-104450760/,2,2,2
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,065 sq. ft.  •  Fully furnished","RM 1,690,000",Posted on 08 Jan 2023 05:33 PM,David Tan,Dutama Properties,https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/sale-102156614/,4+1,4,2
"Tria Residences, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium  •  Built-up : 1,496 sq. ft.","RM 978,000",Posted on 08 Jan 2023 05:24 PM,David Tan,Dutama Properties,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/tria-residences/sale-103363981/,3+1,3,3
"Kiaraville, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,879 sq. ft.  •  Partly furnished","RM 1,350,000",Posted on 08 Jan 2023 05:19 PM,Vera Hah,Oriental Real Estate Sdn. Bhd (KL),https://www.iproperty.com.my/property/mont-kiara/kiaraville/sale-104461010/,3+1,4,2
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,215 sq. ft.  •  Partly furnished","RM 940,000",Posted on 08 Jan 2023 04:58 PM,Alton Chua,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/sale-104492049/,3,2,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,830 sq. ft.  •  Fully furnished","RM 1,850,000",Posted on 08 Jan 2023 04:54 PM,Chester Tan,Mirae Properties,https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/ol-sale-104367336/,4+1,4,2
"Desa Cahaya, Alam Damai, Taman Len Sen, Cheras, Bandar Damai Perdana","Bandar Damai Perdana, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.  •  Partly furnished","RM 650,000",Posted on 08 Jan 2023 04:50 PM,Sam Yap,Wise Man Realty,https://www.iproperty.com.my/property/bandar-damai-perdana/sale-102758914/,4,3,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 3,671 sq. ft.  •  Partly furnished","RM 3,860,000",Posted on 08 Jan 2023 04:49 PM,Alton Chua,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/sale-104492022/,5+1,6,4
"Desa Petaling Flat, Taman Desa Petaling, Desa Petaling","Desa Petaling, Kuala Lumpur",Flat | Corner lot  •  Built-up : 560 sq. ft.  •  Unfurnished,"RM 168,000",Posted on 08 Jan 2023 04:36 PM,Sam Yap,Wise Man Realty,https://www.iproperty.com.my/property/desa-petaling/desa-petaling-flat/sale-100445997/,2,1,
"One Menerung, Bukit Bandaraya, Bangsar","Bangsar, Kuala Lumpur","Condominium  •  Built-up : 3,282 sq. ft.","RM 4,600,000",Posted on 08 Jan 2023 04:36 PM,Priscilla Wong,Asian Land Realty Sdn. Bhd. (MK),https://www.iproperty.com.my/property/bangsar/one-menerung/sale-103435209/,3+1,5,3
Pandan Indah,"Pandan Indah, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,500 sq. ft.  •  Unfurnished","RM 580,000",Posted on 08 Jan 2023 04:35 PM,Sam Yap,Wise Man Realty,https://www.iproperty.com.my/property/pandan-indah/sale-103655512/,4,3,
"adora, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | Corner lot  •  Built-up : 2,500 sq. ft.  •  Partly furnished","RM 2,880,000",Posted on 08 Jan 2023 04:27 PM,Andrew Tan,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/desa-park-city/sale-104173420/,4+1,5,2
"Adiva Parkhomes, Adiva, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 2,959 sq. ft.  •  Partly furnished","RM 2,860,000",Posted on 08 Jan 2023 04:17 PM,Rainee Chin,Space Realty,https://www.iproperty.com.my/property/desa-park-city/sale-103446468/,4+1,6,3
"i-Zen @ Kiara 1, Mont Kiara","Mont Kiara, Kuala Lumpur","Serviced Residence  •  Built-up : 1,407 sq. ft.  •  Partly furnished","RM 890,000",Posted on 08 Jan 2023 03:46 PM,Eugene Yap,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/i-zen-kiara-1/sale-104432915/,3+1,2,2
"The Era, Dutamas","Dutamas, Kuala Lumpur","Serviced Residence  •  Built-up : 1,023 sq. ft.","RM 620,000",Posted on 08 Jan 2023 03:43 PM,Tom Ip,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/dutamas/the-era/sale-104345073/,3,2,2
"East Parc @ Manjalara, Bandar Menjalara","Bandar Menjalara, Kuala Lumpur","Serviced Residence  •  Built-up : 1,510 sq. ft.  •  Partly furnished","RM 1,000,000",Posted on 08 Jan 2023 03:20 PM,Carol Soong,Believe Realty Sdn Bhd,https://www.iproperty.com.my/property/bandar-menjalara/east-parc-manjalara/sale-101697484/,4,3,3
