details
"Condominium  •  Built-up : 1,597 sq. ft."
"Condominium | Corner lot  •  Built-up : 1,208 sq. ft.  •  Fully furnished"
Serviced Residence  •  Built-up : 850 sq. ft.
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 1,164 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 528 sq. ft.
"2-sty Terrace/Link House | Intermediate  •  Built-up : 1,760 sq. ft.  •  Partly furnished"
"Townhouse | Intermediate  •  Built-up : 2,336 sq. ft.  •  Unfurnished"
"2-sty Terrace/Link House | End lot  •  Built-up : 1,000 sq. ft."
"Serviced Residence | Corner lot  •  Built-up : 2,408 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 4,300 sq. ft.  •  Partly furnished"
Serviced Residence | Intermediate  •  Built-up : 868 sq. ft.  •  Partly furnished
"3-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Partly furnished"
Apartment  •  Built-up : 452 sq. ft.
"Condominium  •  Built-up : 1,333 sq. ft.  •  Fully furnished"
"3-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 1,122 sq. ft.  •  Unfurnished"
"3-sty Terrace/Link House | Intermediate  •  Built-up : 3,216 sq. ft.  •  Partly furnished"
"3-sty Terrace/Link House | Intermediate  •  Built-up : 3,200 sq. ft.  •  Fully furnished"
"3-sty Terrace/Link House | Intermediate  •  Built-up : 3,200 sq. ft.  •  Partly furnished"
"3-sty Terrace/Link House | Intermediate  •  Built-up : 3,200 sq. ft."
"Condominium  •  Built-up : 2,767 sq. ft."
"Condominium  •  Built-up : 2,163 sq. ft."
"Condominium | Intermediate  •  Built-up : 2,066 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 1,535 sq. ft.  •  Fully furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 1,800 sq. ft.  •  Unfurnished"
"Condominium | Intermediate  •  Built-up : 1,406 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 4,400 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft."
"Bungalow | Intermediate  •  Built-up : 3,863 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 1,378 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 2,700 sq. ft."
"Condominium  •  Built-up : 1,647 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 850 sq. ft.  •  Partly furnished
"2.5-sty Terrace/Link House | Intermediate  •  Built-up : 2,447 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 950 sq. ft.
"Condominium | Intermediate  •  Built-up : 1,340 sq. ft.  •  Fully furnished"
Condominium  •  Built-up : 900 sq. ft.
"Bungalow | Corner lot  •  Built-up : 12,117 sq. ft.  •  Partly furnished"
"Bungalow | Corner lot  •  Built-up : 9,551 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 10,000 sq. ft."
"Bungalow  •  Built-up : 8,000 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 702 sq. ft.  •  Fully furnished
"Bungalow  •  Built-up : 7,651 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 5,250 sq. ft.  •  Partly furnished"
"Condominium | Intermediate  •  Built-up : 1,184 sq. ft.  •  Partly furnished"
"Condominium  •  Built-up : 2,257 sq. ft.  •  Fully furnished"
"1-sty Terrace/Link House  •  Built-up : 1,300 sq. ft."
Serviced Residence | Corner lot  •  Built-up : 493 sq. ft.  •  Fully furnished
"Condominium | Corner lot  •  Built-up : 2,454 sq. ft.  •  Fully furnished"
Serviced Residence | Corner lot  •  Built-up : 713 sq. ft.  •  Partly furnished
Flat | Intermediate  •  Built-up : 650 sq. ft.  •  Partly furnished
"Condominium  •  Built-up : 3,474 sq. ft."
"Condominium  •  Built-up : 1,093 sq. ft."
"Condominium  •  Built-up : 1,700 sq. ft.  •  Partly furnished"
"Serviced Residence | Corner lot  •  Built-up : 1,653 sq. ft.  •  Fully furnished"
"Townhouse | Intermediate  •  Built-up : 2,900 sq. ft.  •  Unfurnished"
"Condominium  •  Built-up : 1,015 sq. ft.  •  Unfurnished"
